,file,uniqueID,blur,entropy
0,data/input/things/broom.jpg,broom,1.0,4.0281954
0,data/input/things/broom.jpg,broom,2.0,4.007703
0,data/input/things/broom.jpg,broom,3.0,3.267721
0,data/input/things/broom.jpg,broom,4.0,3.906512
0,data/input/things/broom.jpg,broom,5.0,5.030442
0,data/input/things/broom.jpg,broom,6.0,5.064489
0,data/input/things/broom.jpg,broom,7.0,4.9470053
0,data/input/things/broom.jpg,broom,8.0,4.8210034
0,data/input/things/bumper.jpg,bumper,1.0,3.0953946
0,data/input/things/bumper.jpg,bumper,2.0,3.2026734
0,data/input/things/bumper.jpg,bumper,3.0,3.730633
0,data/input/things/bumper.jpg,bumper,4.0,4.106329
0,data/input/things/bumper.jpg,bumper,5.0,4.3164377
0,data/input/things/bumper.jpg,bumper,6.0,4.4696035
0,data/input/things/bumper.jpg,bumper,7.0,4.6315165
0,data/input/things/bumper.jpg,bumper,8.0,4.693537
0,data/input/things/cabinet.jpg,cabinet,1.0,2.8153398
0,data/input/things/cabinet.jpg,cabinet,2.0,3.9034562
0,data/input/things/cabinet.jpg,cabinet,3.0,4.142289
0,data/input/things/cabinet.jpg,cabinet,4.0,4.1863103
0,data/input/things/cabinet.jpg,cabinet,5.0,3.7640724
0,data/input/things/cabinet.jpg,cabinet,6.0,3.9213414
0,data/input/things/cabinet.jpg,cabinet,7.0,4.5986853
0,data/input/things/cabinet.jpg,cabinet,8.0,4.805975
0,data/input/things/camera2.jpg,camera2,1.0,3.6404853
0,data/input/things/camera2.jpg,camera2,2.0,3.20391
0,data/input/things/camera2.jpg,camera2,3.0,3.3479896
0,data/input/things/camera2.jpg,camera2,4.0,3.9549935
0,data/input/things/camera2.jpg,camera2,5.0,4.583654
0,data/input/things/camera2.jpg,camera2,6.0,4.6889577
0,data/input/things/camera2.jpg,camera2,7.0,4.798795
0,data/input/things/camera2.jpg,camera2,8.0,4.758694
0,data/input/things/cane.jpg,cane,1.0,4.0237174
0,data/input/things/cane.jpg,cane,2.0,4.15427
0,data/input/things/cane.jpg,cane,3.0,4.201294
0,data/input/things/cane.jpg,cane,4.0,4.259202
0,data/input/things/cane.jpg,cane,5.0,4.5147705
0,data/input/things/cane.jpg,cane,6.0,4.9178963
0,data/input/things/cane.jpg,cane,7.0,5.00074
0,data/input/things/cane.jpg,cane,8.0,5.0795765
0,data/input/things/canister.jpg,canister,1.0,3.9180741
0,data/input/things/canister.jpg,canister,2.0,3.853149
0,data/input/things/canister.jpg,canister,3.0,4.7790256
0,data/input/things/canister.jpg,canister,4.0,5.030859
0,data/input/things/canister.jpg,canister,5.0,4.9007406
0,data/input/things/canister.jpg,canister,6.0,4.8295684
0,data/input/things/canister.jpg,canister,7.0,4.6643534
0,data/input/things/canister.jpg,canister,8.0,4.743558
0,data/input/things/canoe.jpg,canoe,1.0,2.1287758
0,data/input/things/canoe.jpg,canoe,2.0,2.3754435
0,data/input/things/canoe.jpg,canoe,3.0,2.335346
0,data/input/things/canoe.jpg,canoe,4.0,2.3349195
0,data/input/things/canoe.jpg,canoe,5.0,2.4606876
0,data/input/things/canoe.jpg,canoe,6.0,2.5777583
0,data/input/things/canoe.jpg,canoe,7.0,2.9210627
0,data/input/things/canoe.jpg,canoe,8.0,3.083589
0,data/input/things/canvas.jpg,canvas,1.0,3.437664
0,data/input/things/canvas.jpg,canvas,2.0,3.3813162
0,data/input/things/canvas.jpg,canvas,3.0,3.3061297
0,data/input/things/canvas.jpg,canvas,4.0,3.2353244
0,data/input/things/canvas.jpg,canvas,5.0,3.2907743
0,data/input/things/canvas.jpg,canvas,6.0,3.5784214
0,data/input/things/canvas.jpg,canvas,7.0,4.318183
0,data/input/things/canvas.jpg,canvas,8.0,4.7954626
0,data/input/things/carrot.jpg,carrot,1.0,2.3523057
0,data/input/things/carrot.jpg,carrot,2.0,3.4453378
0,data/input/things/carrot.jpg,carrot,3.0,3.8491325
0,data/input/things/carrot.jpg,carrot,4.0,4.1744194
0,data/input/things/carrot.jpg,carrot,5.0,4.5156345
0,data/input/things/carrot.jpg,carrot,6.0,4.696591
0,data/input/things/carrot.jpg,carrot,7.0,4.7519426
0,data/input/things/carrot.jpg,carrot,8.0,4.743176
0,data/input/things/cart.jpg,cart,1.0,2.8372264
0,data/input/things/cart.jpg,cart,2.0,2.9357424
0,data/input/things/cart.jpg,cart,3.0,4.1341305
0,data/input/things/cart.jpg,cart,4.0,4.419075
0,data/input/things/cart.jpg,cart,5.0,4.7718945
0,data/input/things/cart.jpg,cart,6.0,4.7604003
0,data/input/things/cart.jpg,cart,7.0,4.667155
0,data/input/things/cart.jpg,cart,8.0,4.6410975
0,data/input/things/cash_register.jpg,cash_register,1.0,3.059905
0,data/input/things/cash_register.jpg,cash_register,2.0,3.5307841
0,data/input/things/cash_register.jpg,cash_register,3.0,3.1069794
0,data/input/things/cash_register.jpg,cash_register,4.0,3.5199904
0,data/input/things/cash_register.jpg,cash_register,5.0,4.3557673
0,data/input/things/cash_register.jpg,cash_register,6.0,4.8825426
0,data/input/things/cash_register.jpg,cash_register,7.0,4.9604363
0,data/input/things/cash_register.jpg,cash_register,8.0,4.9663076
0,data/input/things/cashew.jpg,cashew,1.0,3.407278
0,data/input/things/cashew.jpg,cashew,2.0,4.3808355
0,data/input/things/cashew.jpg,cashew,3.0,4.3703203
0,data/input/things/cashew.jpg,cashew,4.0,4.4800324
0,data/input/things/cashew.jpg,cashew,5.0,4.7320347
0,data/input/things/cashew.jpg,cashew,6.0,4.919591
0,data/input/things/cashew.jpg,cashew,7.0,5.0651917
0,data/input/things/cashew.jpg,cashew,8.0,4.9838066
0,data/input/things/cauliflower.jpg,cauliflower,1.0,0.090777755
0,data/input/things/cauliflower.jpg,cauliflower,2.0,0.585205
0,data/input/things/cauliflower.jpg,cauliflower,3.0,1.5995853
0,data/input/things/cauliflower.jpg,cauliflower,4.0,2.5200183
0,data/input/things/cauliflower.jpg,cauliflower,5.0,4.30696
0,data/input/things/cauliflower.jpg,cauliflower,6.0,4.7154503
0,data/input/things/cauliflower.jpg,cauliflower,7.0,4.7522535
0,data/input/things/cauliflower.jpg,cauliflower,8.0,4.540004
0,data/input/things/cd_player.jpg,cd_player,1.0,3.0773816
0,data/input/things/cd_player.jpg,cd_player,2.0,3.1786582
0,data/input/things/cd_player.jpg,cd_player,3.0,3.03801
0,data/input/things/cd_player.jpg,cd_player,4.0,2.7077193
0,data/input/things/cd_player.jpg,cd_player,5.0,2.7634013
0,data/input/things/cd_player.jpg,cd_player,6.0,3.5158558
0,data/input/things/cd_player.jpg,cd_player,7.0,3.7496016
0,data/input/things/cd_player.jpg,cd_player,8.0,3.731969
