"","uniqueID","blur","sigma","image_id"
"610","stethoscope",2,6.72284244218372,187
"611","stethoscope",3,7.81204917508024,187
"612","stethoscope",4,9.077724614062,187
"613","stethoscope",5,10.5484594786746,187
"614","stethoscope",6,12.2574766369179,187
"615","stethoscope",7,14.2433815865089,187
"616","stethoscope",8,16.5510345259701,187
"617","chicken_wire",1,4,188
"618","chicken_wire",2,4.8760546168179,188
"619","chicken_wire",3,5.94397715654779,188
"620","chicken_wire",4,7.24578931411125,188
"621","chicken_wire",5,8.8327161093905,188
"622","chicken_wire",6,10.7672015410588,188
"623","chicken_wire",7,13.1253656961222,188
"624","chicken_wire",8,16,188
"625","comic_book",1,4,193
"626","comic_book",2,4.8760546168179,193
"627","comic_book",3,5.94397715654779,193
"628","comic_book",4,7.24578931411125,193
"629","comic_book",5,8.8327161093905,193
"630","comic_book",6,10.7672015410588,193
"631","comic_book",7,13.1253656961222,193
"632","comic_book",8,16,193
"633","sweater",1,4.9095,196
"634","sweater",2,5.82082727393373,196
"635","sweater",3,6.90131992116729,196
"636","sweater",4,8.1823793101686,196
"637","sweater",5,9.70123569697534,196
"638","sweater",6,11.5020302140368,196
"639","sweater",7,13.6370977035289,196
"640","sweater",8,16.1684876769529,196
"641","mug",1,9.105,198
"642","mug",2,10.1034032235817,198
"643","mug",3,11.2112857439078,198
"644","mug",4,12.4406524465122,198
"645","mug",5,13.8048246053324,198
"646","mug",6,15.3185842304772,198
"647","mug",7,16.9983342443614,198
"648","mug",8,18.8622762218561,198
"649","chalk",1,5.43,200
"650","chalk",2,6.35753754098576,200
"651","chalk",3,7.44351447238366,200
"652","chalk",4,8.71499497146407,200
"653","chalk",5,10.2036662432016,200
"654","chalk",6,11.9466282130467,200
"655","chalk",7,13.9873181128258,200
"656","chalk",8,16.3765930018416,200
"657","magnifying_glass",1,14.536,201
"658","magnifying_glass",2,15.5814577922709,201
"659","magnifying_glass",3,16.7021069711281,201
"660","magnifying_glass",4,17.9033554494101,201
"661","magnifying_glass",5,19.1910000877137,201
"662","magnifying_glass",6,20.5712546682841,201
"663","magnifying_glass",7,22.0507798808423,201
"664","magnifying_glass",8,23.6367154650523,201
"665","artichoke",1,7.838,202
"666","artichoke",2,10.2433237246159,202
"667","artichoke",3,13.3867926674252,202
"668","artichoke",4,17.4949286714404,202
"669","artichoke",5,22.8637685532825,202
"670","artichoke",6,29.8801968430677,202
"671","artichoke",7,39.0498251108431,202
"672","artichoke",8,51.033426894616,202
"673","hard_disk",1,9.63,204
"674","hard_disk",2,11.4886929012441,204
"675","hard_disk",3,13.706133393468,204
"676","hard_disk",4,16.3515635951237,204
"677","hard_disk",5,19.5075900934101,204
"678","hard_disk",6,23.2727634295473,204
"679","hard_disk",7,27.7646554522715,204
"680","hard_disk",8,33.1235306334372,204
"681","drumstick",1,4.226,205
"682","drumstick",2,6.37929829817034,205
"683","drumstick",3,9.62977917109298,205
"684","drumstick",4,14.5364964216539,205
"685","drumstick",5,21.9433617804108,205
"686","drumstick",6,33.1242902181521,205
"687","drumstick",7,50.0023019916607,205
"688","drumstick",8,75.4802650260294,205
"689","hula_hoop",1,7.838,206
"690","hula_hoop",2,8.81797768151158,206
"691","hula_hoop",3,9.92048104001484,206
"692","hula_hoop",4,11.160829344311,206
"693","hula_hoop",5,12.556257216802,206
"694","hula_hoop",6,14.1261541083285,206
"695","hula_hoop",7,15.8923337143191,206
"696","hula_hoop",8,17.8793370757847,206
"697","otter",1,11.831,207
"698","otter",2,13.7456965399176,207
"699","otter",3,15.9702623081314,207
"700","otter",4,18.5548456893295,207
"701","otter",5,21.5577109450191,207
"702","otter",6,25.0465516647361,207
"703","otter",7,29.1000167825907,207
"704","otter",8,33.8094835601386,207
"705","canister",1,6.379,208
"706","canister",2,8.07142853084918,208
"707","canister",3,10.212879531056,208
"708","canister",4,12.9224842810928,208
"709","canister",5,16.3509810810256,208
"710","canister",6,20.6891009883627,208
"711","canister",7,26.1781783970984,208
"712","canister",8,33.1235767361655,208
"713","basil",1,14.536,209
"714","basil",2,15.5814577922709,209
"715","basil",3,16.7021069711281,209
"716","basil",4,17.9033554494101,209
"717","basil",5,19.1910000877137,209
"718","basil",6,20.5712546682841,209
"719","basil",7,22.0507798808423,209
"720","basil",8,23.6367154650523,209
"721","sail",1,4,210
"722","sail",2,5.4528105540237,210
"723","sail",3,7.43328573451805,210
"724","sail",4,10.1330747260635,210
"725","sail",5,13.8134342027474,210
"726","sail",6,18.8305099520132,210
"727","sail",7,25.6698008509965,210
"728","sail",8,34.99314025,210
"729","mouse2",1,11.831,211
"730","mouse2",2,13.3083529901812,211
"731","mouse2",3,14.9701850487081,211
"732","mouse2",4,16.8395323266454,211
"733","mouse2",5,18.942307530434,211
"734","mouse2",6,21.3076591212563,211
"735","mouse2",7,23.9683753681121,211
"736","mouse2",8,26.961338855549,211
"737","wire",1,7.838,213
"738","wire",2,9.35072232604657,213
"739","wire",3,11.1553978079645,213
"740","wire",4,13.3083729700006,213
"741","wire",5,15.8768691316585,213
"742","wire",6,18.9410812269863,213
"743","wire",7,22.5966816928607,213
"744","wire",8,26.9578076039806,213
"745","granola",1,9.63,214
"746","granola",2,10.6348624749969,214
"747","granola",3,11.7445794249323,214
"748","granola",4,12.9700921091208,214
